dra,ddec,mag
7.7743009999999995,0.045835,17.52
7.7994259999999995,0.057438,17.52
7.824545,0.069037,17.52
7.849658,0.080634,17.52
7.874764999999999,0.09222899999999999,17.53
7.899864999999999,0.10382100000000001,17.53
7.924958999999999,0.11540999999999998,17.53
7.9500470000000005,0.126996,17.53
7.975128999999999,0.13858,17.53
8.000204,0.150161,17.53
8.025273,0.16174000000000002,17.53
8.050335,0.173315,17.53
8.075391999999999,0.184889,17.53
8.100441,0.196459,17.53
8.125485000000001,0.208027,17.53
8.150522,0.219592,17.53
8.175553,0.231154,17.53
8.200578,0.242713,17.53
8.225596000000001,0.25427,17.53
8.250608,0.265825,17.53
8.275613,0.277376,17.53
8.300612,0.288925,17.53
8.325605,0.300471,17.53
8.350589999999999,0.312014,17.53
8.37557,0.323554,17.54
8.400542999999999,0.335092,17.54
8.425509,0.346627,17.54
8.450469,0.358159,17.54
8.475422,0.369688,17.54
8.500368,0.381215,17.54
8.525308,0.39273800000000003,17.54
8.550241999999999,0.40425900000000003,17.54
8.575168,0.41577700000000006,17.54
8.600088000000001,0.427292,17.54
8.625002,0.43880399999999997,17.54
8.649908,0.45031400000000005,17.54
8.674808,0.461821,17.54
8.699701,0.47332399999999997,17.54
8.724588,0.484825,17.54
8.749467,0.49632299999999996,17.54
8.774339999999999,0.507818,17.54
8.799206,0.519311,17.54
8.824066,0.5308,17.54
8.848918,0.5422859999999999,17.55
8.873764,0.55377,17.55
8.898603,0.5652510000000001,17.55
8.923435000000001,0.576728,17.55
8.948260000000001,0.5882029999999999,17.55
8.973078,0.599675,17.55
8.99789,0.6111439999999999,17.55
9.022694,0.62261,17.55
9.047492,0.634073,17.55
9.072282000000001,0.645533,17.55
9.097066,0.656991,17.55
9.121843,0.668445,17.55
9.146613,0.6798960000000001,17.55
9.171375,0.691344,17.55
9.196131,0.7027899999999999,17.55
9.220880000000001,0.714232,17.55
9.245621,0.725671,17.55
9.270356,0.737108,17.55
9.295083,0.748541,17.55
9.319804,0.759971,17.55
9.344517,0.7713979999999999,17.56
9.369188000000001,0.782826,17.56
9.393888,0.794247,17.56
9.418579,0.805666,17.56
9.443264,0.8170810000000001,17.56
9.467941999999999,0.828493,17.56
9.492612,0.839902,17.56
9.517275999999999,0.851308,17.56
9.541932000000001,0.8627100000000001,17.56
9.56658,0.87411,17.56
9.591222,0.8855069999999999,17.56
9.615855999999999,0.8969010000000001,17.56
9.640483,0.908291,17.56
9.665103,0.9196790000000001,17.56
9.689716,0.931063,17.56
9.714321,0.9424440000000001,17.56
9.738919000000001,0.953822,17.56
9.76351,0.965197,17.56
9.788093,0.976569,17.56
9.812669,0.9879379999999999,17.56
9.837237,0.9993040000000001,17.57
9.861798,1.010666,17.57
9.886352,1.022025,17.57
9.910899,1.033382,17.57
9.935437,1.044735,17.57
9.959969000000001,1.056085,17.57
9.984492999999999,1.067431,17.57
10.00901,1.078775,17.57
10.03352,1.090115,17.57
10.058019999999999,1.101452,17.57
10.082510000000001,1.112786,17.57
10.107,1.124117,17.57
10.13148,1.135445,17.57
10.15595,1.1467690000000001,17.57
10.18042,1.15809,17.57
10.20487,1.169408,17.57
10.22932,1.180723,17.57
10.25376,1.192034,17.57
10.2782,1.203343,17.57
10.30262,1.214648,17.57
10.32704,1.225949,17.58
10.35145,1.237248,17.58
10.375860000000001,1.248543,17.58
10.40025,1.259835,17.58
10.42464,1.271124,17.58
10.449019999999999,1.282409,17.58
10.47339,1.293692,17.58
10.497760000000001,1.30497,17.58
10.522110000000001,1.3162459999999998,17.58
10.54646,1.327518,17.58
10.5708,1.3387870000000002,17.58
10.595139999999999,1.3500530000000002,17.58
10.61946,1.361315,17.58
10.64378,1.372575,17.58
10.66809,1.38383,17.58
10.6924,1.395083,17.58
10.71669,1.406332,17.58
10.74098,1.417578,17.58
10.765260000000001,1.42882,17.58
10.789530000000001,1.440059,17.58
10.81379,1.451295,17.58
10.83805,1.4625270000000001,17.59
10.86229,1.4737559999999998,17.59
10.88653,1.484982,17.59
10.91077,1.496204,17.59
10.934989999999999,1.507423,17.59
10.9592,1.5186389999999999,17.59
10.983410000000001,1.529851,17.59
11.007610000000001,1.541059,17.59
11.0318,1.552265,17.59
11.05599,1.563467,17.59
11.080160000000001,1.574665,17.59
11.104330000000001,1.58586,17.59
11.12849,1.5970520000000001,17.59
11.15264,1.60824,17.59
11.176789999999999,1.619425,17.59
11.20092,1.630607,17.59
11.22505,1.6417849999999998,17.59
11.24917,1.652959,17.59
11.27328,1.6641299999999999,17.59
11.29739,1.675298,17.59
11.321480000000001,1.686462,17.59
11.34557,1.6976229999999999,17.6
11.36965,1.70878,17.6
11.39372,1.719934,17.6
11.41778,1.731084,17.6
11.44184,1.742231,17.6
11.46588,1.7533740000000002,17.6
11.48992,1.764514,17.6
11.51395,1.77565,17.6
